PRODUCTITEMID,VARIATIONOPTIONID,VARIATIONOPTIONID2,VARIATIONOPTIONID3
1,4,23,36
2,5,19,27
3,1,21,29
4,6,15,30
5,3,20,28
6,7,20,32
7,5,13,35
8,7,14,31
9,2,10,23
10,8,24,40
11,1,25,39
12,2,9,33
13,1,18,34
14,4,22,34
15,6,26,38
16,4,14,30
17,18,24,37
18,3,12,40
19,5,11,16
20,2,17,28
21,2,11,27
22,5,26,29
23,7,15,36
24,4,20,40
25,6,13,39
26,3,16,32
27,7,8,33
28,2,22,31
29,5,26,37
30,3,20,35
31,6,24,29
32,4,10,36
33,5,11,27
34,1,14,30
35,2,9,28
36,3,25,38
37,4,21,33
38,5,26,35
39,6,35,29
40,7,15,28
41,1,16,40
42,2,20,39
43,3,16,32
44,4,17,35
45,5,11,37
46,6,11,27
47,7,12,28
48,1,8,29
49,2,9,30
50,4,10,31
51,5,12,32
52,7,15,33
53,6,18,34
54,5,19,35
55,4,21,36
56,3,20,37
57,5,26,38
58,2,25,39
59,1,24,40
60,1,13,40
61,1,11,32
62,7,11,35
63,5,11,27
64,6,12,28
65,5,15,29
66,6,14,28
67,4,25,27
68,2,25,30
69,3,24,31
70,4,22,32
71,1,21,37
72,2,20,34
73,3,26,35
74,4,15,37
75,5,8,33
76,6,9,34
77,7,8,40
78,5,9,40
79,2,15,40
80,1,12,27
81,3,11,29
82,3,16,40
83,5,40,35
84,6,39,34
85,4,35,33
86,4,16,27
87,4,20,28
88,7,9,35
89,4,10,28
90,5,12,34
91,5,16,33
92,6,24,32
93,1,27,37
94,2,12,36
95,3,11,39
96,2,15,37
97,3,23,35
98,3,16,34
99,1,17,37
100,4,22,36
